Operator,TotalServices,TotalTrips,AverageTrips,TotalStops,AverageStops,UniqueRoutes,UniqueServiceCodes
Whites Coaches,1,4,4.0,91,91.0,1,1
Grayscroft Coaches,8,33,4.125,724,90.5,8,8
Globe,55,724,13.163636363636364,6292,114.4,28,16
Hattons Transport Ltd,17,191,11.235294117647058,848,49.88235294117647,16,17
C G Myall & Son,3,6,2.0,130,43.333333333333336,3,3
BorderBus Ltd,30,420,14.0,1847,61.56666666666667,24,22
Hams Travel,25,225,9.0,1708,68.32,23,22
Dents Coaches,1,2,2.0,25,25.0,1,1
ZandS Transport,17,99,5.823529411764706,662,38.94117647058823,17,14
Evolve Bus & Coach,2,38,19.0,103,51.5,2,2
Berry's Coaches,3,40,13.333333333333334,37,12.333333333333334,3,3
Grindles Coaches,2,4,2.0,42,21.0,2,2
Nottingham City Transport Ltd,41,10850,264.6341463414634,3268,79.70731707317073,39,39
NBM Hire,2,11,5.5,60,30.0,1,1
Dan's Coach Travel,1,13,13.0,141,141.0,1,1
Falcon Buses,83,1195,14.397590361445783,9098,109.6144578313253,27,27
BCT,5,79,15.8,428,85.6,3,3
Compass Travel,187,1456,7.786096256684492,17047,91.16042780748663,69,55
Woods of Berwick Ltd,2,29,14.5,26,13.0,1,1
Oakleys Coaches,5,60,12.0,199,39.8,5,5
Eurocoaches Ltd,13,348,26.76923076923077,1193,91.76923076923077,12,12
Cardinal Buses,7,17,2.4285714285714284,365,52.142857142857146,7,7
Transdev,117,9511,81.2905982905983,11757,100.48717948717949,101,115
PETER HOGG OF JEDBURGH,4,24,6.0,480,120.0,1,2
Cogenhoe and Whiston Parish Council,1,15,15.0,136,136.0,1,1
A2B Travel (UK) Limited,17,332,19.529411764705884,842,49.529411764705884,17,9
Heatons Coaches,1,2,2.0,77,77.0,1,1
Totnes Community Bus,5,31,6.2,118,23.6,5,5
Manchester Bus Tours,4,27,6.75,44,11.0,1,1
Imperial Coaches,10,20,2.0,170,17.0,10,10
Skills Motor Coaches Ltd,2,165,82.5,33,16.5,2,1
Blueworks Taxis,14,52,3.7142857142857144,579,41.357142857142854,5,7
Sullivan Buses,49,1385,28.26530612244898,4120,84.08163265306122,22,22
Stagecoach Group,1882,180060,95.67481402763018,143713,76.36184909670563,711,1598
M&H Coaches,2,49,24.5,278,139.0,1,1
Ensign Bus Co Ltd,64,1694,26.46875,3639,56.859375,12,12
