Operator,TotalServices,UniqueServices,UniqueRoutes,TotalTrips,AverageTrips,MaximumTrips,MinimumTrips,TotalStops,AverageStops,MaximumStops,MinimumStops,PerformanceScore
Sheffield Community Transport,2,1,1,42,21.0,21,21,40,20.0,21,19,53.8
Acklams Coaches,9,8,9,69,7.666666666666667,12,4,1239,137.66666666666666,286,8,614.3
Go-Ahead Group plc,3301,978,716,177187,53.67676461678279,1531,1,298634,90.46773704937898,293,2,180985.0
First Bus London,112,23,21,37665,336.29464285714283,1176,6,8861,79.11607142857143,121,7,18269.3
Shoreline Suncruisers,8,3,4,163,20.375,49,2,150,18.75,30,9,200.2
Hopleys Coaches,2,2,2,52,26.0,30,22,116,58.0,63,53,105.6
A2B Travel Group Ltd,19,18,19,284,14.947368421052632,46,2,1443,75.94736842105263,204,32,1011.5
Hodgsons Coach Operators,74,26,29,861,11.635135135135135,49,1,5840,78.91891891891892,295,7,2791.4
Liverpool City Sights,4,1,1,177,44.25,51,36,56,14.0,14,14,112.6
Lucketts Travel,3,3,3,72,24.0,68,2,81,27.0,56,2,128.1
Yorkshire Buses,16,7,8,218,13.625,32,2,2079,129.9375,168,56,900.9
Greenslades,3,3,3,107,35.666666666666664,77,2,174,58.0,94,36,170.0
Kinchbus,13,8,8,1733,133.30769230769232,413,44,813,62.53846153846154,145,14,1137.1
Jacksons of Silsden,2,1,1,24,12.0,16,8,150,75.0,75,75,79.6
Station Coaches,6,4,4,60,10.0,18,2,227,37.833333333333336,65,9,192.1
Midland Classic Limited,84,27,44,1012,12.047619047619047,58,1,6373,75.86904761904762,189,21,3246.7
Our Bus,19,13,12,91,4.7894736842105265,15,2,901,47.421052631578945,94,9,616.7
Mulleys Motorways Ltd,19,16,19,190,10.0,28,2,784,41.26315789473684,103,7,756.2
Woods of Berwick Ltd,2,1,1,29,14.5,15,14,26,13.0,13,13,44.4
CVS ESSEX LIMITED,1,1,1,4,4.0,4,4,16,16.0,16,16,31.4
National Express (UK Coach),23,18,15,904,39.30434782608695,134,2,148,6.434782608695652,27,2,811.0
White Bus,46,14,18,1128,24.52173913043478,69,1,3892,84.6086956521739,140,13,2028.8
Harpur's Coaches Ltd,7,7,7,14,2.0,2,2,60,8.571428571428571,17,5,198.6
A2B Travel (UK) Limited,17,9,17,332,19.529411764705884,52,1,842,49.529411764705884,189,11,730.4
Wright Bros Coaches,4,4,2,8,2.0,2,2,359,89.75,165,11,180.9
Cogenhoe and Whiston Parish Council,1,1,1,15,15.0,15,15,136,136.0,136,136,71.8
Reptons Coaches,15,8,9,36,2.4,10,1,804,53.6,105,29,470.6
Nu-Venture,44,44,44,576,13.090909090909092,115,1,2720,61.81818181818182,186,3,2146.4
London Vintage Bus Hire (trading as The London Bus Company),1,1,1,27,27.0,27,27,122,122.0,122,122,72.4
Fowlers Travel,3,3,3,8,2.6666666666666665,4,2,162,54.0,103,23,126.8
Ability CIC,3,3,3,12,4.0,5,2,31,10.333333333333334,16,2,89.1
Atlantic Travel,33,23,23,54,1.6363636363636365,5,1,2123,64.33333333333333,96,31,1233.5
